Title,Year,Agency,Keywords
Three Essays on Environmental Regulation and Economic Activities,2019,Clark University,economics;discussion;data;center;census;business;impact;working;university;economic
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness?,2020,NBER,economics;discussion;data;center;census;business;impact;economic;paper;working
Documenting the 1973 and 1978 Surveys of Water Use in Manufacturing (SWUM),2023,Center for Economic Studies,economics;discussion;data;center;business;impact;economic;census;manufacturing;2023
Renewable Portfolio Standard and Firms’ Production Shifting: An Industry-by-Industry Analysis,2018,Clark University,discussion;data;center;census;business;impact;working;economic;university;firms
Environmental Regulations and Employment in the Pulp and Paper Industry: Evidence from the Cluster Rule,2018,"University of Maine, Orono",data;center;census;business;firms;working;economic;evidence;university;paper
Environmental Regulations and Technological Change: Pulp and Paper Mills and EPA’s Cluster Rule,2020,US EPA National Center for Environmental Economics,discussion;data;census;business;impact;economic;center;working;economics;paper
Employment and Output Leakage Under California’s Cap-and-Trade Program,2016,Resources For the Future Discussion Paper,data;center;census;business;firms;working;economic;paper;discussion;trade
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness,2020,Center for Economic Studies,discussion;data;business;firms;studies;center;working;census;papers;economic
Carbon Tax Competitiveness Concerns: Assessing a Best Practices Carbon Credit,2017,National Tax Journal,evidence;economics;discussion;data;center;census;business;impact;economic;journal
How Does State-Level Carbon Pricing in the United States Affect Industrial Competitiveness?,2022,Environmental and Resource Economics,evidence;discussion;data;center;census;business;impact;working;economic;economics
Estimating the cost of environmental regulations and technological change with limited information,2023,Ecological Economics,evidence;discussion;data;center;census;business;impact;economic;economics;2023
Firm Leverage and Unemployment during the Great Recession,2015,CEPR,economic;discussion;data;center;census;impact;paper;working;firm;business
"Firm Leverage, Consumer Demand, and Employment Losses during the Great Recession",2017,Center for Economic Studies,census;firms;working;economic;paper;studies;center;firm;discussion;business
Firm Leverage and Regional Business Cycles,2018,NBER,discussion;data;center;census;firms;rdc;paper;working;firm;business
Firms' Internal Networks and Local Economic Shocks,2019,American Economic Review,economics;discussion;data;center;census;impact;working;business;firms;economic
Firms' Internal Networks and Local Economic Shocks,2017,NBER,discussion;data;center;census;economic;rdc;paper;working;business;firms
"Firm Leverage, Consumer Demand, and Employment Losses During the Great Recession",2017,Quarterly Journal of Economics,economic;discussion;data;center;census;impact;firm;journal;business;economics
Redistribution of Local Labor Market Shocks through Firms' Internal Networks,2016,NBER,discussion;data;center;census;paper;working;labor;business;firms;market
Firm Leverage and Employment Dynamics,2021,Journal of Financial Economics,economic;discussion;data;center;census;impact;firm;journal;business;economics
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2019,Journal of Political Economy,economics;economic;discussion;center;census;impact;evidence;journal;data;business
Firm Leverage and Regional Business Cycles,2018,CEPR,economic;discussion;data;center;census;impact;paper;working;firm;business
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2015,NBER,economic;discussion;center;census;impact;paper;working;evidence;data;business
Redistribution of Local Demand Shocks through Firms’ Internal Networks,2016,CEPR,economic;discussion;data;center;census;impact;paper;working;business;firms
Firm Leverage and Unemployment during the Great Recession,2015,NBER,discussion;data;center;census;firms;rdc;paper;working;firm;business
Redistribution of Local Labor Market Shocks through Firms' Internal Networks,2017,Center for Economic Studies,working;economic;paper;studies;center;discussion;labor;business;firms;market
Firms' Internal Networks and Local Economic Shocks,2017,CEPR,discussion;data;center;census;economic;rdc;paper;working;business;firms
State Taxation and the Reallocation of Business Activity: Evidence from Establishment-Level Data,2017,Center for Economic Studies,firms;working;economic;paper;studies;center;discussion;evidence;data;business
In-migration and Dilution of Community Social Capital,2018,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;discussion;labor
Wage Determination in Social Occupations: The Role of Individual Social Capital,2018,Research in Labor Economics,economic;discussion;data;center;census;business;impact;working;economics;labor
Decennial Census Return Rates: The Role of Social Capital,2017,Center for Economic Studies,business;firms;working;economic;paper;studies;center;discussion;labor;census
Individual Social Capital and Migration,2018,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;discussion;labor
Individual social capital and migration. ,2021,Growth and Change,economics;economic;discussion;data;center;census;business;impact;working;labor
Wage Determination in Social Occupations: The Role of Individual Social Capital,2016,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;discussion;labor
In-Migration and Dilution of Community Social Capital,2021,International Regional Science Review,economics;economic;discussion;data;center;census;business;impact;working;labor
US Decennial Census Return Rates: The Role of Social Capital,2019,International Journal of Social Economics,economic;discussion;data;center;business;impact;labor;journal;census;economics
Social Capital and Census Response Rates,2019,International Journal of Social Economics,economic;discussion;data;center;business;impact;labor;journal;census;economics
Long-term effects of group rights to resources: Evaluating the Western Alaska Community Development Quota program,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Long-Term Benefits to Indigenous Communities of Extractive Industry Partnerships: Evaluating the Red Dog Mine,2020,Resources Policy,evidence;economics;economic;discussion;data;center;census;business;impact;working
Rural-urban mobility patterns of Arctic Indigenous Peoples: Evaluating the stepping-stones hypothesis,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
"Resource Rents, Universal Basic Income, and Poverty among Alaska's Indigenous Peoples",2018,World Development,economics;economic;discussion;data;center;census;business;impact;working;rdc
Long-term effects of capital transfers: Alaska Native Corporations and the relative well-being of Alaska Native shareholders,2020,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2017,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;productivity
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2020,Review of Financial Studies,discussion;data;center;census;business;firms;working;studies;evidence;productivity
"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",2018,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;productivity
Creditor Rights and Entrepreneurship: Evidence from Fraudulent Transfer Law,2022,Review of Financial Studies,economic;discussion;data;center;census;business;impact;working;studies;evidence
Creditor Control Rights and Resource Allocation within Firms,2021,Journal of Financial Economics,economic;discussion;data;center;census;business;impact;journal;firms;economics
Creditor Control Rights and Resource Allocation within Firms,2015,Center for Economic Studies,census;business;working;economic;rdc;paper;studies;center;discussion;firms
Collateral Values and Corporate Employment,2015,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Creditor Rights and Entrepreneurship: Evidence from Fraudulent Transfer Law,2016,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;evidence
Collateral Shocks and Corporate Employment,2020,Review of Finance,economics;economic;discussion;data;center;census;business;impact;working;rdc
Measuring Plant Level Energy Efficiency and Technical Change in the U.S. Metal-Based Durable Manufacturing Sector Using Stochastic Frontier Analysis,2019,Energy Economics,economic;discussion;data;center;census;business;impact;working;economics;manufacturing
